model,rmse,mae,r2,train_seconds,efficiency_score_per_sec
Linear Regression,3.7773972715299373,2.0056569064004335,0.6372128875750052,6.503832578659058,0.040704
Random Forest,3.7845199249656067,2.0039006880001335,0.6358434562517193,103.75980234146118,0.002547
Gradient Boosted Trees,3.798776189687527,2.013199847932256,0.6330947375824771,122.65898728370667,0.002146
